State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Housholds_with_Electric_Lighting,sex ratio,Literacy rate
Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,145,2547184,1367125,1180059,1507746,8726,281239,86.3,59.2
Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,192,2205968,1114709,1091259,1363044,2656,149908,97.9,61.8
Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,138,3443689,1825743,1617946,2141488,23717,425624,88.6,62.2
Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,199,2496970,1312302,1184668,1428683,4447,145997,90.3,57.2
Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,135,4772006,2503186,2268820,2263848,11690,281758,90.6,47.4
Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,133,4143512,2193434,1950078,2417339,10077,368153,88.9,58.3
Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,151,2031007,1072002,959005,1061095,2870,83006,89.5,52.2
Uttar Pradesh,Pratapgarh,25.864842731707313,81.93530048780492,131,867848,437744,430104,401515,716,71612,98.3,46.3
Uttar Pradesh,Pratapgarh,25.864842731707313,81.93530048780492,173,3209141,1606085,1603056,1931559,5149,140538,99.8,60.2
Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,158,3405559,1752542,1653017,1965843,5184,247856,94.3,57.7
Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,136,2335819,1223889,1111930,1043666,3847,131112,90.9,44.7
Uttar Pradesh,Saharanpur,30.033811652173917,77.59905147826095,132,3466382,1834106,1632276,2077108,9699,404499,89.0,59.9
Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,186,1715183,869656,845527,954949,2031,79525,97.2,55.7
Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,152,3006538,1606403,1400135,1490930,3889,115163,87.2,49.6
Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,154,4483992,2375264,2108728,2283733,3874,102040,88.8,50.9
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,200,1862559,971344,891215,985708,5149,95582,91.8,52.9
Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,179,3797117,1914586,1882531,2239902,5956,233701,98.3,59.0
