State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Housholds_with_Electric_Lighting,sex ratio,Literacy rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,5512,566108,100.1,54.1
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,8606,897970,97.7,56.6
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,13763,944555,99.7,63.9
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,22411,1297273,100.6,63.8
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,19383,1186028,100.3,60.6
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,149034,869721,95.4,73.3
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,8831,926768,100.8,58.4
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,8628,668519,101.1,58.3
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,30438,1163932,99.2,66.6
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,10081,816721,98.8,52.5
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,1940646,6153,757821,97.7,47.9
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,1637137,8635,604719,99.2,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,2001019,7715,789225,98.3,57.4
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,1389810,5261,545913,104.0,54.5
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,1904435,6151,763746,98.1,56.1
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,1495381,3988,615432,101.5,55.3
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1161477,1182997,1238388,4453,527736,101.9,52.8
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,2065023,12952,828077,99.7,58.8
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,2652389,12050,1017568,100.4,67.4
Arunachal Pradesh,Changlang,27.360484793388455,96.37552644628106,253,148226,76948,71278,73174,170,14593,92.6,49.4
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,38775,39915,38449,57,5318,102.9,48.9
Arunachal Pradesh,East Siang,28.153823529411756,95.06499226006191,251,99214,50116,49098,62576,450,14231,98.0,63.1
Arunachal Pradesh,Kurung Kumey,28.048533518005534,93.24531994459834,256,92076,45318,46758,36606,95,3911,103.2,39.8
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,76221,69505,83062,312,17157,91.2,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28053,26027,31849,207,5932,92.8,58.9
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,41843,41187,54057,381,12493,98.4,65.1
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,89182,87391,121048,2477,30539,98.0,68.6
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,29151,20826,26073,96,8635,71.4,52.2
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,57604,54371,47974,98,16026,94.4,42.8
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,18699,16621,18195,97,6198,88.9,51.5
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,41758,41690,45278,139,5373,99.8,54.3
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,46155,37792,48492,202,14188,81.9,57.8
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,58168,54106,64746,303,14204,93.0,57.7
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,867004,826618,897058,2078,84804,95.3,53.0
Assam,Bongaigaon,26.450125219941334,90.6734296187684,319,738804,375818,362986,434078,2523,49866,96.6,58.8
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,886284,850333,1174128,5316,140205,95.9,67.6
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,475273,453227,487039,1166,45444,95.4,52.5
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,351249,334884,423028,1192,28195,95.3,61.7
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,676434,649901,884531,8817,136685,96.1,66.7
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,513292,494891,563577,1364,78641,96.4,55.9
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,543161,523727,721764,3073,82345,96.4,67.7
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,337890,321406,407366,1211,44143,95.1,61.8
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,556805,535451,794929,5651,122063,96.2,72.8
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,778461,739081,995319,3109,122191,94.9,65.6
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,490167,466146,557214,1923,53918,95.1,58.3
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,625864,602822,795297,1933,70951,96.3,64.7
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,452905,434237,489305,1218,41373,95.9,55.2
Assam,Lakhimpur,27.141288059701495,94.0775949253732,307,1042137,529674,512463,683486,1948,60296,96.8,65.6
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,1439112,1384656,1710716,5121,195631,96.2,60.6
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,396006,375633,531771,1631,68313,94.9,68.9
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,983904,940206,1108572,4358,133368,95.6,57.6
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,680231,647698,798322,5135,161718,95.2,60.1
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,1463333,1348236,1195768,2561,43290,92.1,42.5
Bihar,Aurangabad,24.774291867469874,84.45986024096379,235,2540073,1318684,1221389,1466002,2362,44456,92.6,57.7
Bihar,Aurangabad,24.774291867469874,84.45986024096379,515,3701282,1924469,1776813,2503837,23258,589477,92.3,67.6
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1067140,967623,965321,1704,62359,90.7,47.4
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,1567660,1402881,1548673,4644,120373,89.5,52.1
Bihar,Bhagalpur,25.277192885375474,87.04213814229242,224,3037766,1615663,1422103,1573066,6764,174534,88.0,51.8
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,1430380,1298027,1599151,3661,62153,90.7,58.6
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,887977,818375,989807,1784,46760,92.2,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,2059949,1877436,1816634,6280,127442,91.1,46.1
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,2266566,2124852,2297613,6856,112617,93.7,52.3
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,1267666,1294346,1382998,3707,69375,102.1,54.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,916064,844341,858588,1839,32633,92.2,48.8
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,585582,539731,618881,1106,27641,92.2,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,1600430,1470599,1280190,2941,60900,91.9,41.7
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,883786,783100,768028,1580,40641,88.6,46.1
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,866970,823430,745056,1093,58718,95.0,44.1
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,526345,474567,507270,1186,44491,90.2,50.7
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1047559,954203,834577,1397,23236,91.1,41.7
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,2329313,2158066,2155338,5319,113281,92.6,48.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,729041,638724,801817,2653,90461,87.6,58.6
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,2527497,2273565,2509232,10290,180651,90.0,52.3
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,1497060,1380593,1519933,4156,101378,92.2,52.8
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1144668,1074478,1091012,1841,31162,93.9,49.2
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,2061110,1873932,1759481,3495,57546,90.9,44.7
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,3078512,2759953,3459679,40692,546859,89.7,59.3
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,2681209,2418162,2276957,7719,74979,90.2,44.7
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,1699370,1565249,1332326,4170,86058,92.1,40.8
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,1543546,1416372,1799832,4594,114893,91.8,60.8
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,997174,903487,804996,1668,41342,90.6,42.4
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,2230003,2031563,2142880,5379,88021,91.1,50.3
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,2022821,1929041,2157454,4509,94787,95.4,54.6
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,329743,306599,328676,631,20065,93.0,51.7
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,346673,309573,283698,478,10004,89.3,43.2
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,1803252,1620322,1436794,3460,66263,89.9,42.0
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,1675090,1655374,1930175,3834,52935,98.8,58.0
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1155283,1073793,1033283,1845,51028,92.9,46.4
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,1844535,1650486,1926740,4810,70001,89.5,55.1
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,580663,474787,805438,44283,231204,81.8,76.3
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,698487,714712,650863,1782,157646,102.3,46.1
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,192764,189192,287620,1574,79146,98.1,75.3
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,1351574,1312055,1596560,8566,519704,97.1,59.9
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,397897,401884,546833,1016,148926,101.0,68.4
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,1682101,1661771,2303378,16141,614109,98.8,68.9
Chhattisgarh,Jashpur,22.772861676646695,83.8703962075848,402,851669,424747,426922,495415,567,76783,100.5,58.2
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,612915,593725,748759,4544,202380,96.9,62.1
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,334737,324180,397823,1667,80023,96.8,60.4
Chhattisgarh,Mahasamund,21.22372703777335,82.65925427435384,411,1032754,511967,520787,637963,961,212487,101.7,61.8
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,750278,743706,951639,3342,297308,99.1,63.7
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,1344345,1289855,1939994,38570,547206,95.9,73.6
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,2048186,2015686,2629749,20261,728556,98.4,64.7
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,1193129,1166757,1187941,2737,253131,97.8,50.3
Daman and Diu,Daman,20.43161666666667,72.8392366071429,495,191173,124659,66514,150348,1316,49249,53.4,78.6
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,1404356,1338726,1842818,6628,498326,95.3,67.2
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,416677,401331,663060,23440,173951,96.3,81.1
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,322463,318074,502427,17624,138810,98.6,78.4
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,3788051,3426174,5435760,126341,1456046,90.4,75.3
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,771049,743141,995459,2538,273331,96.4,65.7
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,1087224,1005521,1551253,9902,378310,92.5,74.1
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,1610379,1510127,1704923,3424,396873,93.8,54.6
Gujarat,Bharuch,21.757872762377612,72.67326346710801,488,1551019,805707,745312,1118276,10257,309091,92.5,72.1
Gujarat,Bhavnagar,21.702193903417356,72.16272632761141,481,2880365,1490201,1390164,1887255,7297,500757,93.3,65.5
Gujarat,Gandhinagar,23.193679790026255,72.67221679790026,473,1391753,723864,667889,1030494,12107,262539,92.3,74.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,1114192,1045927,1396534,11573,386538,93.9,64.7
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,1404356,1338726,1842818,6628,498326,95.3,67.2
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,1096737,995634,1252319,9631,403294,90.8,59.9
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,1185727,1114158,1660243,5710,372226,94.0,72.2
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,1056520,978544,1502645,7759,385609,92.6,73.8
Gujarat,Narmada,21.706663862928337,73.68403208722742,487,590297,301086,289211,370336,576,101940,96.1,62.7
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,678165,651507,1001909,6726,267679,96.1,75.4
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,1226961,1163815,1440805,3456,398937,94.9,60.3
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,694397,649337,837913,2231,223424,93.5,62.4
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,300209,285240,393678,1653,117040,95.0,67.2
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,1974445,1830113,2725056,21785,747352,92.7,71.6
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,1244231,1184358,1578734,5262,438606,95.2,65.0
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,3402224,2679098,4571410,55694,1252452,78.7,75.2
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,909917,846351,1093626,2975,302068,93.0,62.3
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,113821,114470,140968,137,29794,100.6,61.7
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,2153736,2011890,2893080,53606,798277,93.4,69.5
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,887222,818456,1170657,11020,329218,92.2,68.6
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,598703,529647,818025,12899,199681,88.5,72.5
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,866672,767773,1069871,5292,266244,88.6,65.5
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,966110,843623,1272739,43437,333171,87.3,70.3
Haryana,Fatehabad,29.572983185840716,75.54608716814157,78,942011,495360,446651,557578,3210,153301,90.2,59.2
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,816690,697742,1111116,67087,305751,85.4,73.4
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,931562,812369,1114311,10132,285004,87.2,63.9
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,514667,443738,676091,5034,168558,86.2,70.5
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,713006,621146,832758,5263,222462,87.1,62.4
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,571003,503301,646529,3724,187349,88.1,60.2
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,797712,707612,978013,11163,267223,88.7,65.0
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,510976,453679,646893,7356,171908,88.8,67.1
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,486665,435423,630255,2624,135455,89.5,68.4
Haryana,Panchkula,30.700897142857137,76.97173238095236,69,561293,299679,261614,405318,18615,103455,87.3,72.2
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,646857,558580,786599,10024,209965,86.4,65.3
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,474335,425997,636947,5121,152651,89.8,70.7
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,568479,492725,747582,8482,193120,86.7,70.4
Haryana,Sirsa,29.635834463276836,74.90970480225988,79,1295189,682582,612607,782897,6287,215527,89.7,60.4
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,192764,189192,287620,1574,79146,98.1,75.3
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,1351574,1312055,1596560,8566,519704,97.1,59.9
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,261320,257760,323842,1615,96082,98.6,62.4
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,217070,237698,358091,2521,104120,109.5,78.7
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,593537,510748,653299,1196,55929,86.1,59.2
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,750591,759484,1152640,8053,330081,101.2,76.3
Himachal Pradesh,Kinnaur,31.606671840659335,78.51613736263741,34,84121,46249,37872,60699,354,17865,81.9,72.2
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,225452,212451,307672,2623,91322,94.2,70.3
Himachal Pradesh,Mandi,31.635805940594057,76.96556930693067,27,999777,498065,501712,723747,5333,214491,100.7,72.4
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,425039,388971,612642,9177,172754,91.5,75.3
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,276289,253566,362645,2220,91509,91.8,68.4
Himachal Pradesh,Solan,31.038643119266037,76.94442140672783,31,580320,308754,271566,428578,5250,119866,88.0,73.9
Himachal Pradesh,Una,31.583303883495137,76.18353932038836,29,521173,263692,257481,399715,2412,105929,97.6,76.7
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,213641,196295,219083,596,61831,91.9,53.4
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,813821,716137,1137135,19905,294739,88.0,74.3
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,77785,63017,86236,235,15824,81.0,61.2
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,326109,290326,389204,1443,109422,89.0,63.1
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,293064,267376,293958,1537,73629,91.2,52.5
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,251899,224936,261724,346,62900,89.3,54.9
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,1236829,651124,585705,748584,16413,165403,90.0,60.5
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,296784,258201,322354,1214,73999,87.0,58.1
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,1072807,989523,1273520,9754,274726,92.2,61.8
Jharkhand,Chatra,24.116199457504532,84.93295804701627,347,1042886,533935,508951,510061,590,27037,95.3,48.9
Jharkhand,Deoghar,24.330701007556716,86.75697632241814,350,1492073,775022,717051,793538,1944,130193,92.5,53.2
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,2684487,1405956,1278531,1722204,11568,427173,90.9,64.2
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,668514,652928,672409,1193,62110,97.7,50.9
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,1322784,683575,639209,653476,565,29373,93.5,49.4
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,1258098,1187376,1253475,1944,125431,94.4,51.3
Jharkhand,Godda,24.818899999999996,87.2941735483871,351,1313551,677927,635624,604519,874,43230,93.8,46.0
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,514390,510823,559720,831,31687,99.3,54.6
Jharkhand,Jamtara,23.978733180778015,86.95325080091534,363,791042,404830,386212,426312,808,49419,95.4,53.9
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,726978,369666,357312,350682,340,38194,96.7,48.2
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,232629,229161,259707,351,28769,98.5,56.2
Jharkhand,Pakur,24.572604280821892,87.69691969178076,353,900422,452661,447761,352881,328,31414,98.9,39.2
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,1006302,933567,1024563,2155,68238,92.8,52.8
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,1494937,1419316,1911433,22538,350908,94.9,65.6
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,589391,561176,483263,591,34879,95.2,42.0
Jharkhand,Simdega,22.608760391198057,84.59193691931536,367,599578,300309,299269,343483,423,16865,99.7,57.3
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,950111,939641,1113412,3745,301389,98.9,58.9
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,509172,481751,688749,3729,214253,94.6,69.5
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,2423063,2356598,3052032,17560,808827,97.3,63.9
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,1236954,1215641,1421621,9626,440374,98.3,58.0
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,870665,832635,1042673,3971,271439,95.6,61.2
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,128663,126567,86919,117,12516,98.4,34.1
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,1111022,1066309,1248268,4987,326594,96.0,57.3
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,566622,571339,818345,4510,238505,100.8,71.9
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,840843,818613,1087392,5711,307257,97.4,65.5
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,986400,959097,1308540,7320,372671,97.2,67.3
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,937206,909817,1301664,15013,347962,97.1,70.5
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,537147,527423,700177,3373,198064,98.2,65.8
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,1301755,1264571,1427368,9752,404767,97.1,55.6
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,883667,892754,1225256,4851,400702,101.0,69.0
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,819128,778540,1085443,2456,295937,95.0,67.9
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,274608,279911,412877,3308,113931,101.9,74.5
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,776396,760005,1016219,5051,309494,97.9,66.1
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,699926,689994,809085,2135,223166,98.6,58.2
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,905085,900684,1149649,3367,391033,99.5,63.7
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,1511600,1489527,1962180,28397,640868,98.5,65.4
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,964511,964301,979769,5200,314547,100.0,50.8
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,877415,875338,1263016,8791,363835,99.8,72.1
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,1350594,1328386,1813391,7971,562769,98.4,67.7
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,562131,615230,926429,9070,224814,109.4,78.7
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,1013142,1114647,1852797,28842,507913,110.0,87.1
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,1619557,1662831,2855676,88737,771287,102.7,87.0
Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,552808,556166,923010,8250,244844,100.6,83.2
Kerala,Kannur,11.941523076923056,75.35209891725934,589,2523003,1181446,1341557,2138434,32653,511167,113.6,84.8
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,1307375,628613,678762,1037492,10378,237670,108.0,79.4
Kerala,Kollam,8.929388820570157,76.6360775852431,600,2635375,1246968,1388407,2240273,31542,630767,111.3,85.0
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,1974551,968289,1006262,1749798,37849,464039,103.9,88.6
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,3086293,1470942,1615351,2615443,36791,641660,109.8,84.7
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,4112920,1960328,2152592,3311315,27909,730119,109.8,80.5
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,2809934,1359478,1450456,2239492,27162,587583,106.7,79.7
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,3301427,1581678,1719749,2785408,71621,783872,108.7,84.4
Kerala,Thrissur,10.458932647907687,76.12321940836945,594,3121200,1480763,1640437,2678548,56148,721625,110.8,85.8
Kerala,Wayanad,11.715277464788736,76.07587007042254,590,817420,401684,415736,645585,4712,149864,103.5,79.0
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,749237,379114,370123,436595,1290,81338,97.6,58.3
Madhya Pradesh,Ashoknagar,24.630988461538458,77.82974493927134,459,845071,443837,401234,469109,619,84720,90.4,55.5
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,1701698,842178,859520,1147623,1712,277927,102.1,67.4
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,1385881,699340,686541,549926,1158,181139,98.2,39.7
Madhya Pradesh,Betul,21.964626315789474,77.7873428189117,447,1575362,799236,776126,939769,2109,230974,97.1,59.7
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,1703005,926843,776162,1094917,1166,107819,83.7,64.3
Madhya Pradesh,Bhopal,23.480726143790857,77.39246623093679,444,2371061,1236130,1134931,1660690,40788,452912,91.8,70.0
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,757847,388504,369343,408679,986,112420,95.1,53.9
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,1762375,936121,826254,943033,1880,176056,88.3,53.5
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,2090922,1064468,1026454,1294198,3588,344875,96.4,61.9
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,1264219,661873,602346,747715,1432,187731,91.0,59.1
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,786754,420157,366597,491445,616,97696,87.3,62.5
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,1563715,805359,758356,925369,3518,270457,94.2,59.2
